company,company_location,company_size,company_url,degree,description,experience,industry,job_link,location,number_to_recruit,register_type,salary,title
杭州美龄美月生物科技有限公司,临平银泰城,20-99人,,学历不限,"['职位描述', '职责描述：', '1.在护理部负责人和护士长的领导下，根据规定的标准和要求，完成对所管理的产妇和婴儿的护理工作；', '2.负责执行、检查及指导妈妈、宝宝的入住及出所服务；', '3.负责执行、检查及指导妈妈、宝宝的每日健康评估；', '4.负责', '妈妈、宝宝', '的护理工作', '；', '5.填制和分析各类护理的相关工作记录；', '6.协助和配合客户经理的工作；', '7.上级交办的其他工作。', '具有护士执照，性格稳重，有母婴行业，月子中心经验者为佳', '查看全部內容']",经验不限,医疗/护理/美容/保健/卫生服务,CC817467150J00108575104.html,杭州,招20人,股份制企业,3000-5000元/月,护士
南京金蓝盟企业管理顾问有限公司,南京市鼓楼区汉中路108号金轮大厦23A,500-999人,http://www.jlmedu.com/,中专,"['职位描述', '岗位职责：', '1、协助上级建立健全公司招聘、培训、工资、保险、福利、绩效考核等人力资源制度建设；', '2、建立、维护人事档案，办理和更新劳动合同；', '3、执行人力资源管理各项实务的操作流程和各类规章制度的实施，配合其他业务部门工作；', '4、收集相关的劳动用工等人事政策及法规；', '5、执行招聘工作流程，协调、办理员工招聘、入职、离职、调任、升职等手续；', '6、协同开展新员工入职培训，业务培训，执行培训计划，联系组织外部培训以及培训效果的跟踪、反馈；', '7、负责员工工资结算和年度工资总额申报，办理相应的社会保险等；', '8、帮助建立员工关系，协调员工与管理层的关系，组织员工的活动。', '查看全部內容']",1-3年,专业服务/咨询(财会/法律/人力资源等),CC294412612J00198503206.html,南京,招1人,民营,4001-6000元/月,人事专员
民太安财产保险公估股份有限公司,深圳市福田区商报路奥林匹克大厦十四层,1000-9999人,,本科,"['技能要求:', '内部审计，审计经理，稽核', '职位描述', '岗位职责', '1.稽核公司及各分、子公司的公司规章制度、操作流程执行情况，并对其有效性、合理性等进行评价。', '2.对财务收支有关的经营情况真实性、合法合规性、财产安全性等进行审计。', '3.分、子公司负责人的任期经济责任审计和离任审计。', '4.财务计划及其预算执行情况的审计。', '5.对稽核审计工作中所发现的问题提出完善或改进的建议。', '6.对被稽核对象的整改情况进行后续审计。', '7.信访稽核审计。', '8.董事长、审计委员会交办的其他工作。', '任职条件：', '1.全日制本科及以上学历，审计、财务、会计类专业，8年以上相关工作经验，具备5年及以上部门管理工作。', '2.33~42岁，中共党员优先。', '3.具有注册会计师、中级内审师、中级会计师等资格优先。', '4.掌握内部审计的原理，熟练的审计技巧。', '5.熟悉公司财务运作状况，熟练操作财务软件及办公室软件。', '6.严谨、细致、原则性强，具有强烈的责任心，适应出差及加班。', '查看全部內容']",10年以上,保险,CC478600416J00204848302.html,深圳,招1人,民营,20001-30000元/月,稽核审计部负责人
深圳鸿百商用设备有限公司,深圳市福田区八卦岭工业区542栋通益大厦东座611室,20-99人,http://www.hongbai88.com/,大专,"['职位描述', '1、制定团队年度、季度、月度销售目标，并且组织实施计划，完成销售目标；', '2、负责电商平台整体推广、规划、营销、客户关系管理等系统工作；', '3、负责整个网店经营状态，协调、管理和培训各岗位人员；', '4、负责收集市场和行业信息，分析竞争对手，关注对手的变化和选款、定位等营销策略，结合本店优势制定有效应对方案；', '5、负责老客户关系维护，促进重复购买机率；', '6、熟悉淘宝、阿里平台的运营环境、交易规则、淘宝网站广告资源。', '任职要求：', '1、全日制统招本科以上学历；', '2、5年以上丰富的淘宝、阿里产品运营及团队管理经验；', '3、熟悉电商平台的营销推广手段，如直通车、钻展、淘宝客等内部活动；', '4、熟悉商品排序、网店评分、店铺运营等各种操作规则；', '5、熟悉平台运营环境、交易规则、各类营销工具、广告资源，熟悉运营原理，具备优秀的协调沟通能力。', '工作时间：上午9:00-12：00，下午13:30-18:00，大小周', '公司网址：', '(', 'http://www.h', 'ongbai88.com', '/', ')', '查看全部內容']",3-5年,零售/批发,CC593198621J00279951501.html,深圳,招1人,民营,8000-15000元/月,推广运营/运营主管/运营总监
深圳市思吉普科技有限公司,坪山区青草林路20号,20-99人,,中专,"['职位描述', '岗位职责：', '1、负责阿里巴巴网站的设计、建设及日常维护与更新；', '2、负责公司阿里巴巴平台的推广，提升店铺的展现，点击，和成交，分析店铺数据；', '3、负责公司阿里巴巴平台的营运管理，承接、处理客户订单；', '4、定期针对推广效果进行跟踪，评估，并提交推广效果的统计分析报表，及时提出营销推广改进措施及方案；', '5、其他事宜面议即可。', '任职资格：', '有1年以上阿里巴巴运营经验。', '有阿里巴巴店铺运营交易金额达到3A以上者优先考虑', '熟悉阿里巴巴运营环境及交易规则，善于分析和总结数据，良好的客户服务意识、团队合作意识，耐心、细心，反应灵活，思维敏捷，能根据客户情况及时制定相应的销售策略。', '查看全部內容']",1-3年,贸易/进出口,CZ727027740J00255090107.html,深圳,招6人,民营,6001-8000元/月,阿里巴巴运营高薪包吃包住
深圳市优客科技有限公司,深圳市龙岗区立信路49号鑫丽华信息产业园303,20-99人,,本科,"['技能要求:', '箱包设计，品牌，欧美市场，创意', '职位描述', '☆☆☆☆', '☆', '优秀应届毕业生优先录取', '☆', '☆', '☆', '☆', '☆', '岗位职责', '1、根据品牌定位，分析市场主流趋势，按照品牌方向完成款式设计', '2、运用设计软件完成设计图纸,效果图的制作', '3、编写生产加工工艺指导书,完成面料,工艺,搭配选择', '4、跟工厂对接完成样品并导入量产', '任职要求', '1、本科以上学历，艺术设计或箱包服装设计相关专业', '2、有较强的创新意识和审美观，良好的色彩搭配能力，对国际主流趋势及不同国别审美有关注', '3、熟练使用3Dmax、AI、PS、犀牛等相关设计软件', '查看全部內容']",经验不限,贸易/进出口,CC427958432J00315743801.html,深圳,招2人,民营,5000-10000元/月,箱包-产品设计师
浙江鸿创黔富医疗器械有限公司深圳分公司,深圳市南山区铜鼓路大冲国际中心7A,20-99人,,大专,"['职位描述', '销售总监岗位职责：', '1、制定市场推广计划和方案，组织和策划相应的线上、线下工作；', '2、制定销售目标、销售模式、销售战略、销售预算和奖励计划；', '3、定期或不定期的拜访重点客户；', '4、依据公司的战略规划和经营目标，制定推广计划和策划方案；', '5、全面负责公司的营销组织、营销策划和营销管理；', '6、收集和分析市场数据，并定期反馈最新信息。', '任职要求：', '1、28-38岁，大专以上学历，市场营销专业优先，具备3年以上医疗行业市场营销工作经验；', '2、思路清晰、逻辑清晰、有强的执行力和抗压能力、责任心，具有较强的运营能力，数据分析能力；', '3、具有敏锐的商业和市场意识，分析问题及解决问题能力强，具有良好的资源整合能力和业务推进能力；', '4、具有团队组建及带领团队完成销售任务及目标；', '5、有一定的组织实施经验，监督、指导、落实促销活动的执行；', '6、了解市场动态，依据市场变化适时制定整体促销方案，策划定期的促销活动。', '7、带50人以上团队优先，能打造一支战斗力极强！执行力极强！凝聚力极强的团队！', '待遇面谈！', '查看全部內容']",5-10年,贸易/进出口,CC644906234J00217982008.html,深圳,招2人,民营,10000-20000元/月,销售总监
深圳福朗节能技术有限公司,深圳龙岗区甘李路中海信科技园厂房第1栋A座,20人以下,http://www.nminsul.com,中技,"['技能要求:', '售后支持，\ufeff销售，大客户销售', '职位描述', '任职要求', '1. 本性诚实而灵活，性格积极乐观；', '2. 工作主动，极具细心和耐心；', '3. 良好的人际交往，口头与文字表达能力优秀；', '4. 思维严密，工作风格严谨；', '5. 非常熟练', 'Word', '、', 'Excel', '等应用软件的', '使用（必须）', '；', '6. 高中或以上学历，专业背景。。', '岗位职责', '1. 接听客户来电；', '2. 处理合同订单；', '3. 跟进订单生产；', '4. 系统记录客户资料；', '5. 系统记录订单信息；', '6. 文件的归存和整理；', '7. 经理布置的其它相关事务。', '龙岗布吉和平湖区域居住者优先', '查看全部內容']",1-3年,房地产/建筑/建材/工程,CC322368016J00322513401.html,深圳,招2人,民营,5000-6500元/月,销售跟单员
上海业星建筑装饰工程有限公司,宝山区宝杨路978号,20-99人,,学历不限,"['职位描述', '岗位职责', '1、负责工装项目的装饰装修方案的设计与管理工作，配合完成投标工作；', '2、负责施工过程中设计方案、设计图纸的变更和修改工作；', '3、负责在施工期间对项目施工方案和效果图相关技术疑难问题的解决；', '4、参与工程质量以及效果的把控工作；', '任职要求：', '1、有一年以上相关行业工作经验；', '2、熟练使用CAD、3DMAX、PS、PPT等设计软件，能够独立完成方案图、效果图、施工图。', '3、能够严格按照设计规范为客户提供设计方案及相关配套服务；', '查看全部內容']",1-3年,家居/室内设计/装饰装潢,CZ462305730J00062957006.html,上海,招2人,民营,6001-8000元/月,室内装潢设计师
上海钱智金融信息服务有限公司深圳分公司,深圳南山区铜鼓路大涌商务中心二期1栋1号16楼,1000-9999人,,大专,"['职位描述', '岗位职责：', '1、通过电话等渠道开发客户资源，寻找意向客户，完成销售目标。', '2、在上级的领导和监督下定期完成量化的工作要求，并能独立处理和解决所负责的任务。', '3、接待来访客户，沟通融资方案，签定销售合同，协调业务进展各项事宜，管理、参与和跟进项目进展。', '4、建立客户管理档案，持续跟进客户，进行客户关系维护。', '5、从销售和客户需求的角度，对产品的研发提供指导性建议。', '任职要求：', '1、22-26周岁，统招专科及以上学历。', '2、1年以上电话销售工作经验，过往有良好的销售业绩。', '3、形象气质佳，普通话标准，音质好，思维敏捷。', '4、性格开朗，沟通能力及抗压能力强，热爱销售。', '岗位优势：', '1、不想错过和家人朋友聚会的时间吧，我们是双休+法定节假日', '2、公司位于科技园，地铁口，交通便利，办公环境优质；', '3、入职后享受系统的培训课程，帮助你更快成长；一对一的“师徒“辅导，让你更快进入工作状态，随时帮你解决工作中的疑问', '4、畅通的发展平台和透明的晋升空间，只要你的工作表现优秀，公司就提供更高的职位，让你承担更多的责任，同时获得更高的薪酬回报', '5、定期的团队活动，让你乐在其中，领导极具亲和力，感受东方融资大家庭的温暖！', '6、提供同行业具有竞争力的基本薪资，高额提成、年度奖金、生日及司龄、节假日礼品，社保公积金等福利，让你更具安全感', '一年四次的加薪晋级考核，不怕薪资太高，就怕你不敢挑战！', '求职小贴士：如果您对我们公司提供的岗位有意向，请直接投递简历或电联 15926457959(微信同号)，我们会优先为您安排面试！', '查看全部內容']",经验不限,基金/证券/期货/投资,241072282250076.html,深圳,招3人,民营,8001-10000元/月,融资顾问
杭州时光医疗美容医院有限公司,浙江省杭州市拱墅区教工路596号,100-499人,,学历不限,"['职位描述', '1、踏实、肯干 、善于学习提高；', '2、负责微整形治疗顾客的相关对接工作和科室相关工作；', '3、学历不限、专业不限，应届生可以培养；', '4、身高170CM以上，身高160CM以上。', '查看全部內容']",经验不限,医疗/护理/美容/保健/卫生服务,208628411250344.html,杭州,招2人,民营,6500-12000元/月,微整中心治疗助理
深圳华望技术有限公司,深圳龙华新区清祥路1号宝能科技园9栋B座13楼IJ室,100-499人,,大专,"['技能要求:', '\ufeff销售，客户代表', '职位描述', '职位要求：', '1、从事过', '音视频通讯', '行业且有资源者优先。', '2、', '熟悉国外市场销售特点，良好的表达谈判能力，有较强的耐压能力', '。', '3、', '英文读写能力强', '，英语口语流利；', '4、对海外市场有清晰的洞察力和判断，对数据敏感，擅长分析。', '5、', '具备优秀的谈判能力和客户把控能力，灵活的营销策略；', '6、', '熟悉区域渠道分布', '。', '岗位职责：', '1、负责国际贸易部团队建设、人员管理。带领团队完成海外市场的销售指标。', '2、负责对产品深入研究，编定培训资料，培养员工。', '3、负责国际市场信息汇总、分析，结合公司战略规划，制定市场营销方案和销售计划。', '4、负责国际展会参展和后续跟进的监督及评估报告。', '5、帮助业务员解决订单中的困难，检查业务进展进程。', '6、负责海外市场大客户的开发、跟进和维护。', '7、负责国际贸易部客户信息的管理、风险的控制、费用的控制。', '8', '、对国际市场全局的掌控，制定阶段内海外市场的战略规划。', '9、', '协调与其它部门的沟通合作关系，协调公司相关部门的资源以推动工程项目的实施。', '10、负责公司产品在海外的渠道开发。', '查看全部內容']",经验不限,电子技术/半导体/集成电路,CC655836027J00262634403.html,深圳,招1人,民营,8001-10000元/月,外贸销售
深圳前海三牛犇腾贸易有限公司,深圳前海三牛犇腾贸易有限公司,20人以下,,中专,"['职位描述', '1', '、主要负责京东售前接待，通过京东在线平台为顾客在线解答疑问、回复咨询，协助顾客促成并完成订单服务；', '2', '、熟悉网上交易操作过程，', '按照规定和流程接待买家并提高转化率', '；', '3', '、处理订单，客户的信息整理及宝贝的跟踪回访和商品的退换货处理；', '4', '、负责解决客户投诉维权，提高买家满意度，不断提高动态评分；', '5', '、登记反馈客户售后问题，并为客户解决好。', '岗位要求：', '1', '、打字速度不低于每分钟', '40', '字，有京东客服（淘宝、天猫客服）从业经验者优先录用；', '2', '、有良好的客户服务意识和说服能力，有意向往电子商务客服方向发展，能接受早晚两班；', '3', '、适应高强度工作，拥有强烈的工作责任心，吃苦耐劳；', '4', '、拥有优秀的团队合作精神，对上级主管安排的工作能按时完成；', '查看全部內容']",经验不限,互联网/电子商务,CC386316783J00216049707.html,深圳,招1人,民营,4001-6000元/月,京东客服
